自用咪咕,#genre#
CCTV1综合,http://gat.bkpcp.top/ymg.php?id=cctv1
CCTV2财经,http://gat.bkpcp.top/ymg.php?id=cctv2
CCTV3综艺,http://gat.bkpcp.top/ymg.php?id=cctv3
CCTV4中文国际,http://gat.bkpcp.top/ymg.php?id=cctv4
CCTV5体育,http://gat.bkpcp.top/ymg.php?id=cctv5
CCTV6电影,http://gat.bkpcp.top/ymg.php?id=cctv6
CCTV7国防军事,http://gat.bkpcp.top/ymg.php?id=cctv7
CCTV8电视剧,http://gat.bkpcp.top/ymg.php?id=cctv8
CCTV9纪录,http://gat.bkpcp.top/ymg.php?id=cctv9
CCTV10科教,http://gat.bkpcp.top/ymg.php?id=cctv10
CCTV11戏曲,http://gat.bkpcp.top/ymg.php?id=cctv11
CCTV12社会与法,http://gat.bkpcp.top/ymg.php?id=cctv12
CCTV13新闻,http://gat.bkpcp.top/ymg.php?id=cctv13
CCTV14少儿,http://gat.bkpcp.top/ymg.php?id=cctv14
CCTV15音乐,http://gat.bkpcp.top/ymg.php?id=cctv15
CCTV17农业农村,http://gat.bkpcp.top/ymg.php?id=cctv17
